geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Central Region,2_sample_mean,10523820,1764,1764,1,1,755158.75,,1895515.12
Southern Region,1_analytic_mean,10523929,1765,1765,1,1,125306.95,0.0,372332.84
Southern Region,2_sample_mean,10523929,1765,1765,1,1,125306.95,,372332.84
Area under National Administration,1_analytic_mean,10523929,1765,1765,1,1,30463.61,0.0,101545.34
Area under National Administration,2_sample_mean,10523929,1765,1765,1,1,30463.61,,101545.34
Central Region,1_analytic_mean,10523929,1765,1765,1,1,516594.94,0.0,1793969.62
Central Region,2_sample_mean,10523929,1765,1765,1,1,516594.94,,1793969.62
Northern Region,1_analytic_mean,10523931,1765,1765,1,1,354393.25,0.0,1184696.62
Northern Region,2_sample_mean,10523931,1765,1765,1,1,354393.25,,1184696.62
Southern Region,1_analytic_mean,10523993,1765,1765,1,1,26608186.0,0.0,53412696.0
Southern Region,2_sample_mean,10523993,1765,1765,1,1,26608186.0,,53412696.0
Area under National Administration,1_analytic_mean,10523993,1765,1765,1,1,232945.06,0.0,643120.56
Area under National Administration,2_sample_mean,10523993,1765,1765,1,1,232945.06,,643120.56
Central Region,1_analytic_mean,10523993,1765,1765,1,1,5157969.0,0.0,12625615.0
Central Region,2_sample_mean,10523993,1765,1765,1,1,5157969.0,,12625615.0
Southern Region,1_analytic_mean,10524100,1766,1766,1,1,76903.68,0.0,203090.66
Southern Region,2_sample_mean,10524100,1766,1766,1,1,76903.68,,203090.66
Central Region,1_analytic_mean,10524101,1766,1766,1,1,90172.26,0.0,406181.28
Central Region,2_sample_mean,10524101,1766,1766,1,1,90172.26,,406181.28
Northern Region,1_analytic_mean,10524125,1767,1767,1,1,430010.69,0.0,913908.56
Northern Region,2_sample_mean,10524125,1767,1767,1,1,430010.69,,913908.56
Southern Region,1_analytic_mean,10524232,1768,1768,1,1,76159.0,0.0,203090.66
Southern Region,2_sample_mean,10524232,1768,1768,1,1,76159.0,,203090.66
Area under National Administration,1_analytic_mean,10524232,1768,1768,1,1,26198.7,0.0,101545.34
Area under National Administration,2_sample_mean,10524232,1768,1768,1,1,26198.7,,101545.34
Central Region,1_analytic_mean,10524232,1768,1768,1,1,914720.75,0.0,3147909.5
Central Region,2_sample_mean,10524232,1768,1768,1,1,914720.75,,3147909.5
Central Region,1_analytic_mean,10524240,1768,1768,1,1,1284075.12,0.0,3114061.0
Central Region,2_sample_mean,10524240,1768,1768,1,1,1284075.12,,3114061.0
Southern Region,1_analytic_mean,10524336,1769,1769,1,1,1504158.38,0.0,4637237.0
Southern Region,2_sample_mean,10524336,1769,1769,1,1,1504158.38,,4637237.0
Area under National Administration,1_analytic_mean,10524336,1769,1769,1,1,1525551.12,0.0,4704933.0
Area under National Administration,2_sample_mean,10524336,1769,1769,1,1,1525551.12,,4704933.0
Central Region,1_analytic_mean,10524336,1769,1769,1,1,934623.12,0.0,2335545.5
Central Region,2_sample_mean,10524336,1769,1769,1,1,934623.12,,2335545.5
Northern Region,1_analytic_mean,10524438,1770,1770,1,1,18684.34,0.0,67696.9
Northern Region,2_sample_mean,10524438,1770,1770,1,1,18684.34,,67696.9
Southern Region,1_analytic_mean,10524443,1770,1770,1,1,44883.04,0.0,169242.22
Southern Region,2_sample_mean,10524443,1770,1770,1,1,44883.04,,169242.22
Central Region,1_analytic_mean,10524443,1770,1770,1,1,29854.33,0.0,101545.34
Central Region,2_sample_mean,10524443,1770,1770,1,1,29854.33,,101545.34
Northern Region,1_analytic_mean,10524510,1770,1770,1,1,485522.06,0.0,981605.56
Northern Region,2_sample_mean,10524510,1770,1770,1,1,485522.06,,981605.56
Southern Region,1_analytic_mean,10524510,1770,1770,1,1,32246278.0,0.0,67527216.0
Southern Region,2_sample_mean,10524510,1770,1770,1,1,32246278.0,,67527216.0
Area under National Administration,1_analytic_mean,10524510,1770,1770,1,1,350602.28,0.0,846211.56
Area under National Administration,2_sample_mean,10524510,1770,1770,1,1,350602.28,,846211.56
Central Region,1_analytic_mean,10524510,1770,1770,1,1,16513881.0,0.0,34728600.0
Central Region,2_sample_mean,10524510,1770,1770,1,1,16513881.0,,34728600.0
Southern Region,1_analytic_mean,10524633,1771,1771,1,1,65259.81,0.0,203090.66
Southern Region,2_sample_mean,10524633,1771,1771,1,1,65259.81,,203090.66
Northern Region,1_analytic_mean,10524655,1772,1772,1,1,15028.71,0.0,67696.9
Northern Region,2_sample_mean,10524655,1772,1772,1,1,15028.71,,67696.9
Northern Region,1_analytic_mean,10524782,1773,1773,1,1,28432.7,0.0,33848.45
Northern Region,2_sample_mean,10524782,1773,1773,1,1,28432.7,,33848.45
Northern Region,1_analytic_mean,10524947,1775,1775,1,1,339838.41,0.0,1150848.12
Northern Region,2_sample_mean,10524947,1775,1775,1,1,339838.41,,1150848.12
Northern Region,1_analytic_mean,10524950,1775,1775,1,1,4135070.5,0.0,9917615.0
Northern Region,2_sample_mean,10524950,1775,1775,1,1,4135070.5,,9917615.0
Area under National Administration,1_analytic_mean,10524950,1775,1775,1,1,86516.64,0.0,169242.22
Area under National Administration,2_sample_mean,10524950,1775,1775,1,1,86516.64,,169242.22
Central Region,1_analytic_mean,10524959,1775,1775,1,1,560395.0,0.0,1489333.12
Central Region,2_sample_mean,10524959,1775,1775,1,1,560395.0,,1489333.12
Central Region,1_analytic_mean,10525013,1776,1776,1,1,67629.2,0.0,304635.97
Central Region,2_sample_mean,10525013,1776,1776,1,1,67629.2,,304635.97
Northern Region,1_analytic_mean,10525018,1776,1776,1,1,274646.34,0.0,778514.56
Northern Region,2_sample_mean,10525018,1776,1776,1,1,274646.34,,778514.56
Southern Region,1_analytic_mean,10525098,1777,1777,1,1,8104227.5,0.0,16958404.0
Southern Region,2_sample_mean,10525098,1777,1777,1,1,8104227.5,,16958404.0
Area under National Administration,1_analytic_mean,10525098,1777,1777,1,1,85298.09,0.0,101545.34
Area under National Administration,2_sample_mean,10525098,1777,1777,1,1,85298.09,,101545.34
Central Region,1_analytic_mean,10525098,1777,1777,1,1,9870187.0,0.0,20952468.0
Central Region,2_sample_mean,10525098,1777,1777,1,1,9870187.0,,20952468.0
Southern Region,1_analytic_mean,10525168,1777,1777,1,1,39061.11,0.0,101545.34
Southern Region,2_sample_mean,10525168,1777,1777,1,1,39061.11,,101545.34
Northern Region,1_analytic_mean,10525178,1778,1778,1,1,383502.88,0.0,812363.06
Northern Region,2_sample_mean,10525178,1778,1778,1,1,383502.88,,812363.06
Southern Region,1_analytic_mean,10525178,1778,1778,1,1,18206956.0,0.0,42209008.0
Southern Region,2_sample_mean,10525178,1778,1778,1,1,18206956.0,,42209008.0
Central Region,1_analytic_mean,10525178,1778,1778,1,1,791918.25,0.0,1624727.12
Central Region,2_sample_mean,10525178,1778,1778,1,1,791918.25,,1624727.12
Northern Region,1_analytic_mean,10525223,1778,1778,1,1,144871.36,0.0,304635.97
Northern Region,2_sample_mean,10525223,1778,1778,1,1,144871.36,,304635.97
Area under National Administration,1_analytic_mean,10525223,1778,1778,1,1,15028.71,0.0,67696.9
Area under National Administration,2_sample_mean,10525223,1778,1778,1,1,15028.71,,67696.9
Southern Region,1_analytic_mean,10525496,1782,1782,1,1,172220.91,0.0,676969.06
Southern Region,2_sample_mean,10525496,1782,1782,1,1,172220.91,,676969.06
Central Region,1_analytic_mean,10525505,1782,1782,1,1,337536.72,0.0,1320090.62
Central Region,2_sample_mean,10525505,1782,1782,1,1,337536.72,,1320090.62
Southern Region,1_analytic_mean,10525514,1782,1782,1,1,2255325.75,0.0,6058853.0
Southern Region,2_sample_mean,10525514,1782,1782,1,1,2255325.75,,6058853.0
Northern Region,1_analytic_mean,10525630,1782,1782,1,1,15028.71,0.0,67696.9
Northern Region,2_sample_mean,10525630,1782,1782,1,1,15028.71,,67696.9
Central Region,1_analytic_mean,10525649,1783,1783,1,1,7514.36,0.0,33848.45
Central Region,2_sample_mean,10525649,1783,1783,1,1,7514.36,,33848.45
Northern Region,1_analytic_mean,10525654,1783,1783,1,1,173439.45,0.0,676969.06
Northern Region,2_sample_mean,10525654,1783,1783,1,1,173439.45,,676969.06
Southern Region,1_analytic_mean,10525800,1784,1784,1,1,11169.99,0.0,33848.45
Southern Region,2_sample_mean,10525800,1784,1784,1,1,11169.99,,33848.45
Central Region,1_analytic_mean,10525800,1784,1784,1,1,27281.85,0.0,67696.9
Central Region,2_sample_mean,10525800,1784,1784,1,1,27281.85,,67696.9
Northern Region,1_analytic_mean,10525813,1784,1784,1,1,672703.81,0.0,1557030.12
Northern Region,2_sample_mean,10525813,1784,1784,1,1,672703.81,,1557030.12
Area under National Administration,1_analytic_mean,10525813,1784,1784,1,1,26604.88,0.0,67696.9
Area under National Administration,2_sample_mean,10525813,1784,1784,1,1,26604.88,,67696.9
Central Region,1_analytic_mean,10525813,1784,1784,1,1,41024.32,0.0,135393.78
Central Region,2_sample_mean,10525813,1784,1784,1,1,41024.32,,135393.78
Southern Region,1_analytic_mean,10525822,1784,1784,1,1,40977396.0,0.0,79066656.0
Southern Region,2_sample_mean,10525822,1784,1784,1,1,40977396.0,,79066656.0
Area under National Administration,1_analytic_mean,10525822,1784,1784,1,1,159426.19,0.0,338484.41
Area under National Administration,2_sample_mean,10525822,1784,1784,1,1,159426.19,,338484.41
Central Region,1_analytic_mean,10525822,1784,1784,1,1,4356502.5,0.0,9579115.0
Central Region,2_sample_mean,10525822,1784,1784,1,1,4356502.5,,9579115.0
Southern Region,1_analytic_mean,10525974,1785,1785,1,1,358725.75,0.0,1150848.12
Southern Region,2_sample_mean,10525974,1785,1785,1,1,358725.75,,1150848.12
Area under National Administration,1_analytic_mean,10525974,1785,1785,1,1,159290.8,0.0,541575.06
Area under National Administration,2_sample_mean,10525974,1785,1785,1,1,159290.8,,541575.06
Central Region,1_analytic_mean,10525974,1785,1785,1,1,1702579.62,0.0,5415741.0
Central Region,2_sample_mean,10525974,1785,1785,1,1,1702579.62,,5415741.0
Area under National Administration,1_analytic_mean,10526166,1786,1786,1,1,50704.98,0.0,101545.34
Area under National Administration,2_sample_mean,10526166,1786,1786,1,1,50704.98,,101545.34
Northern Region,1_analytic_mean,10526252,1787,1787,1,1,3329470.5,0.0,8563615.0
Northern Region,2_sample_mean,10526252,1787,1787,1,1,3329470.5,,8563615.0
Area under National Administration,1_analytic_mean,10526252,1787,1787,1,1,107028.78,0.0,270787.53
Area under National Administration,2_sample_mean,10526252,1787,1787,1,1,107028.78,,270787.53
Central Region,1_analytic_mean,10526252,1787,1787,1,1,10834847.0,0.0,25048076.0
Central Region,2_sample_mean,10526252,1787,1787,1,1,10834847.0,,25048076.0
Northern Region,1_analytic_mean,10526387,1789,1789,1,1,1304654.88,0.0,3587940.0
Northern Region,2_sample_mean,10526387,1789,1789,1,1,1304654.88,,3587940.0
Northern Region,1_analytic_mean,10526462,1790,1790,1,1,4711039.0,0.0,10933115.0
Northern Region,2_sample_mean,10526462,1790,1790,1,1,4711039.0,,10933115.0
Area under National Administration,1_analytic_mean,10526462,1790,1790,1,1,94031.0,0.0,203090.66
Area under National Administration,2_sample_mean,10526462,1790,1790,1,1,94031.0,,203090.66
Central Region,1_analytic_mean,10526473,1790,1790,1,1,94030.98,0.0,338484.41
Central Region,2_sample_mean,10526473,1790,1790,1,1,94030.98,,338484.41
Southern Region,1_analytic_mean,10526525,1791,1791,1,1,7514.36,0.0,33848.45
Southern Region,2_sample_mean,10526525,1791,1791,1,1,7514.36,,33848.45
Northern Region,1_analytic_mean,10526531,1791,1791,1,1,657066.19,0.0,1726272.62
Northern Region,2_sample_mean,10526531,1791,1791,1,1,657066.19,,1726272.62
Southern Region,1_analytic_mean,10526703,1793,1793,1,1,1781174.5,0.0,5923461.0
Southern Region,2_sample_mean,10526703,1793,1793,1,1,1781174.5,,5923461.0
Central Region,1_analytic_mean,10526703,1793,1793,1,1,694638.12,0.0,2437091.0
Central Region,2_sample_mean,10526703,1793,1793,1,1,694638.12,,2437091.0
Southern Region,1_analytic_mean,10526766,1793,1793,1,1,39061.11,0.0,101545.34
Southern Region,2_sample_mean,10526766,1793,1793,1,1,39061.11,,101545.34
Northern Region,1_analytic_mean,10526779,1794,1794,1,1,368677.25,0.0,778514.56
Northern Region,2_sample_mean,10526779,1794,1794,1,1,368677.25,,778514.56
Southern Region,1_analytic_mean,10526779,1794,1794,1,1,10500902.0,0.0,22847956.0
Southern Region,2_sample_mean,10526779,1794,1794,1,1,10500902.0,,22847956.0
Central Region,1_analytic_mean,10526779,1794,1794,1,1,663226.5,0.0,1286242.12
Central Region,2_sample_mean,10526779,1794,1794,1,1,663226.5,,1286242.12
Northern Region,1_analytic_mean,10526833,1794,1794,1,1,15028.71,0.0,67696.9
Northern Region,2_sample_mean,10526833,1794,1794,1,1,15028.71,,67696.9
Northern Region,1_analytic_mean,10526964,1796,1796,1,1,7514.36,0.0,33848.45
Northern Region,2_sample_mean,10526964,1796,1796,1,1,7514.36,,33848.45
Southern Region,1_analytic_mean,10526973,1796,1796,1,1,7265791.5,0.0,16315265.0
Southern Region,2_sample_mean,10526973,1796,1796,1,1,7265791.5,,16315265.0
Central Region,1_analytic_mean,10526973,1796,1796,1,1,105200.97,0.0,372332.84
Central Region,2_sample_mean,10526973,1796,1796,1,1,105200.97,,372332.84
Southern Region,1_analytic_mean,10527097,1798,1798,1,1,434613.97,0.0,1218545.12
Southern Region,2_sample_mean,10527097,1798,1798,1,1,434613.97,,1218545.12
Central Region,1_analytic_mean,10527097,1798,1798,1,1,35202.39,0.0,67696.9
Central Region,2_sample_mean,10527097,1798,1798,1,1,35202.39,,67696.9
Central Region,1_analytic_mean,10527108,1798,1798,1,1,1265593.88,0.0,3080212.5
Central Region,2_sample_mean,10527108,1798,1798,1,1,1265593.88,,3080212.5
Southern Region,1_analytic_mean,10527119,1798,1798,1,1,4859631.5,0.0,9071365.0
Southern Region,2_sample_mean,10527119,1798,1798,1,1,4859631.5,,9071365.0
Northern Region,1_analytic_mean,10527223,1798,1798,1,1,7514.36,0.0,33848.45
Northern Region,2_sample_mean,10527223,1798,1798,1,1,7514.36,,33848.45
Central Region,1_analytic_mean,10527247,1799,1799,1,1,15434.89,0.0,33848.45
Central Region,2_sample_mean,10527247,1799,1799,1,1,15434.89,,33848.45
Northern Region,1_analytic_mean,10527252,1799,1799,1,1,15028.71,0.0,67696.9
Northern Region,2_sample_mean,10527252,1799,1799,1,1,15028.71,,67696.9
Northern Region,1_analytic_mean,10527383,1800,1800,1,1,11169.99,0.0,33848.45
Northern Region,2_sample_mean,10527383,1800,1800,1,1,11169.99,,33848.45
Southern Region,1_analytic_mean,10527383,1800,1800,1,1,3265623.75,0.0,8732865.0
Southern Region,2_sample_mean,10527383,1800,1800,1,1,3265623.75,,8732865.0
Area under National Administration,1_analytic_mean,10527383,1800,1800,1,1,3017324.5,0.0,7480469.0
Area under National Administration,2_sample_mean,10527383,1800,1800,1,1,3017324.5,,7480469.0
Central Region,1_analytic_mean,10527383,1800,1800,1,1,2846859.0,0.0,8022037.0
Central Region,2_sample_mean,10527383,1800,1800,1,1,2846859.0,,8022037.0
Southern Region,1_analytic_mean,10527388,1800,1800,1,1,285410.06,0.0,947757.06
Southern Region,2_sample_mean,10527388,1800,1800,1,1,285410.06,,947757.06
Area under National Administration,1_analytic_mean,10527388,1800,1800,1,1,188400.45,0.0,440029.72
Area under National Administration,2_sample_mean,10527388,1800,1800,1,1,188400.45,,440029.72
Central Region,1_analytic_mean,10527388,1800,1800,1,1,532571.62,0.0,1286242.12
Central Region,2_sample_mean,10527388,1800,1800,1,1,532571.62,,1286242.12
Southern Region,1_analytic_mean,10527399,1800,1800,1,1,11169.99,0.0,33848.45
Southern Region,2_sample_mean,10527399,1800,1800,1,1,11169.99,,33848.45
Central Region,1_analytic_mean,10527399,1800,1800,1,1,27281.85,0.0,67696.9
Central Region,2_sample_mean,10527399,1800,1800,1,1,27281.85,,67696.9
Northern Region,1_analytic_mean,10527405,1800,1800,1,1,1430978.38,0.0,3926425.0
Northern Region,2_sample_mean,10527405,1800,1800,1,1,1430978.38,,3926425.0
Southern Region,1_analytic_mean,10527405,1800,1800,1,1,37368.69,0.0,135393.78
Southern Region,2_sample_mean,10527405,1800,1800,1,1,37368.69,,135393.78
Area under National Administration,1_analytic_mean,10527405,1800,1800,1,1,49147.95,0.0,169242.22
Area under National Administration,2_sample_mean,10527405,1800,1800,1,1,49147.95,,169242.22
Central Region,1_analytic_mean,10527405,1800,1800,1,1,1314471.62,0.0,3994122.0
Central Region,2_sample_mean,10527405,1800,1800,1,1,1314471.62,,3994122.0
Southern Region,1_analytic_mean,10527415,1800,1800,1,1,31716252.0,0.0,62416264.0
Southern Region,2_sample_mean,10527415,1800,1800,1,1,31716252.0,,62416264.0
Area under National Administration,1_analytic_mean,10527415,1800,1800,1,1,98092.8,0.0,406181.28
Area under National Administration,2_sample_mean,10527415,1800,1800,1,1,98092.8,,406181.28
Central Region,1_analytic_mean,10527415,1800,1800,1,1,1755450.0,0.0,4434149.0
Central Region,2_sample_mean,10527415,1800,1800,1,1,1755450.0,,4434149.0
Northern Region,1_analytic_mean,10527520,1801,1801,1,1,5598380.5,0.0,12761015.0
Northern Region,2_sample_mean,10527520,1801,1801,1,1,5598380.5,,12761015.0
Area under National Administration,1_analytic_mean,10527520,1801,1801,1,1,101545.35,0.0,236939.09
Area under National Administration,2_sample_mean,10527520,1801,1801,1,1,101545.35,,236939.09
Central Region,1_analytic_mean,10527520,1801,1801,1,1,225024.47,0.0,947757.06
Central Region,2_sample_mean,10527520,1801,1801,1,1,225024.47,,947757.06
Southern Region,1_analytic_mean,10527728,1804,1804,1,1,22339.98,0.0,67696.9
Southern Region,2_sample_mean,10527728,1804,1804,1,1,22339.98,,67696.9
Southern Region,1_analytic_mean,10527752,1804,1804,1,1,8040727.5,0.0,16958404.0
Southern Region,2_sample_mean,10527752,1804,1804,1,1,8040727.5,,16958404.0
Area under National Administration,1_analytic_mean,10527752,1804,1804,1,1,76497.5,0.0,101545.34
Area under National Administration,2_sample_mean,10527752,1804,1804,1,1,76497.5,,101545.34
Central Region,1_analytic_mean,10527752,1804,1804,1,1,9581453.0,0.0,19598548.0
Central Region,2_sample_mean,10527752,1804,1804,1,1,9581453.0,,19598548.0
Southern Region,1_analytic_mean,10527812,1804,1804,1,1,31546.76,0.0,67696.9
Southern Region,2_sample_mean,10527812,1804,1804,1,1,31546.76,,67696.9
Northern Region,1_analytic_mean,10527828,1805,1805,1,1,336589.0,0.0,710817.56
Northern Region,2_sample_mean,10527828,1805,1805,1,1,336589.0,,710817.56
Southern Region,1_analytic_mean,10527828,1805,1805,1,1,2182414.5,0.0,4298757.0
Southern Region,2_sample_mean,10527828,1805,1805,1,1,2182414.5,,4298757.0
Central Region,1_analytic_mean,10527828,1805,1805,1,1,506034.28,0.0,1150848.12
Central Region,2_sample_mean,10527828,1805,1805,1,1,506034.28,,1150848.12
Northern Region,1_analytic_mean,10527878,1805,1805,1,1,128827.2,0.0,270787.53
Northern Region,2_sample_mean,10527878,1805,1805,1,1,128827.2,,270787.53
Area under National Administration,1_analytic_mean,10527878,1805,1805,1,1,30869.79,0.0,67696.9
Area under National Administration,2_sample_mean,10527878,1805,1805,1,1,30869.79,,67696.9
Southern Region,1_analytic_mean,10528168,1809,1809,1,1,4805135.5,0.0,8969815.0
Southern Region,2_sample_mean,10528168,1809,1809,1,1,4805135.5,,8969815.0
Central Region,1_analytic_mean,10528312,1810,1810,1,1,28432.7,0.0,33848.45
Central Region,2_sample_mean,10528312,1810,1810,1,1,28432.7,,33848.45
Central Region,1_analytic_mean,10528448,1811,1811,1,1,1873716.75,0.0,4772629.0
Central Region,2_sample_mean,10528448,1811,1811,1,1,1873716.75,,4772629.0
Southern Region,1_analytic_mean,10528453,1811,1811,1,1,7514.36,0.0,33848.45
Southern Region,2_sample_mean,10528453,1811,1811,1,1,7514.36,,33848.45
Area under National Administration,1_analytic_mean,10528453,1811,1811,1,1,44679.96,0.0,135393.78
Area under National Administration,2_sample_mean,10528453,1811,1811,1,1,44679.96,,135393.78
Central Region,1_analytic_mean,10528453,1811,1811,1,1,100732.98,0.0,338484.41
Central Region,2_sample_mean,10528453,1811,1811,1,1,100732.98,,338484.41
Northern Region,1_analytic_mean,10528473,1811,1811,1,1,912351.06,0.0,2403242.5
Northern Region,2_sample_mean,10528473,1811,1811,1,1,912351.06,,2403242.5
Area under National Administration,1_analytic_mean,10528473,1811,1811,1,1,26604.88,0.0,67696.9
Area under National Administration,2_sample_mean,10528473,1811,1811,1,1,26604.88,,67696.9
Central Region,1_analytic_mean,10528473,1811,1811,1,1,41024.32,0.0,135393.78
Central Region,2_sample_mean,10528473,1811,1811,1,1,41024.32,,135393.78
Southern Region,1_analytic_mean,10528486,1811,1811,1,1,13591301.0,0.0,30599148.0
Southern Region,2_sample_mean,10528486,1811,1811,1,1,13591301.0,,30599148.0
Area under National Administration,1_analytic_mean,10528486,1811,1811,1,1,52803.59,0.0,169242.22
Area under National Administration,2_sample_mean,10528486,1811,1811,1,1,52803.59,,169242.22
Central Region,1_analytic_mean,10528486,1811,1811,1,1,2354838.5,0.0,5246501.0
Central Region,2_sample_mean,10528486,1811,1811,1,1,2354838.5,,5246501.0
Northern Region,1_analytic_mean,10528804,1814,1814,1,1,4305666.5,0.0,10425365.0
Northern Region,2_sample_mean,10528804,1814,1814,1,1,4305666.5,,10425365.0
Area under National Administration,1_analytic_mean,10528804,1814,1814,1,1,66072.17,0.0,135393.78
Area under National Administration,2_sample_mean,10528804,1814,1814,1,1,66072.17,,135393.78
Central Region,1_analytic_mean,10528815,1814,1814,1,1,541033.62,0.0,1421636.12
Central Region,2_sample_mean,10528815,1814,1814,1,1,541033.62,,1421636.12
Southern Region,1_analytic_mean,10529040,1817,1817,1,1,8616834.0,0.0,17906148.0
Southern Region,2_sample_mean,10529040,1817,1817,1,1,8616834.0,,17906148.0
Area under National Administration,1_analytic_mean,10529040,1817,1817,1,1,141554.22,0.0,338484.41
Area under National Administration,2_sample_mean,10529040,1817,1817,1,1,141554.22,,338484.41
Central Region,1_analytic_mean,10529040,1817,1817,1,1,12224282.0,0.0,26469692.0
Central Region,2_sample_mean,10529040,1817,1817,1,1,12224282.0,,26469692.0
Southern Region,1_analytic_mean,10529042,1817,1817,1,1,11169.99,0.0,33848.45
Southern Region,2_sample_mean,10529042,1817,1817,1,1,11169.99,,33848.45
Southern Region,1_analytic_mean,10529101,1817,1817,1,1,11169.99,0.0,33848.45
Southern Region,2_sample_mean,10529101,1817,1817,1,1,11169.99,,33848.45
Northern Region,1_analytic_mean,10529114,1818,1818,1,1,1038741.19,0.0,2741727.5
Northern Region,2_sample_mean,10529114,1818,1818,1,1,1038741.19,,2741727.5
Southern Region,1_analytic_mean,10529114,1818,1818,1,1,11310626.0,0.0,24404964.0
Southern Region,2_sample_mean,10529114,1818,1818,1,1,11310626.0,,24404964.0
Central Region,1_analytic_mean,10529114,1818,1818,1,1,615364.75,0.0,1320090.62
Central Region,2_sample_mean,10529114,1818,1818,1,1,615364.75,,1320090.62
Area under National Administration,1_analytic_mean,10529167,1818,1818,1,1,22339.98,0.0,67696.9
Area under National Administration,2_sample_mean,10529167,1818,1818,1,1,22339.98,,67696.9
Northern Region,1_analytic_mean,10529294,1820,1820,1,1,15028.71,0.0,67696.9
Northern Region,2_sample_mean,10529294,1820,1820,1,1,15028.71,,67696.9
Area under National Administration,1_analytic_mean,10529294,1820,1820,1,1,15028.71,0.0,67696.9
Area under National Administration,2_sample_mean,10529294,1820,1820,1,1,15028.71,,67696.9
Central Region,1_analytic_mean,10529294,1820,1820,1,1,7514.36,0.0,33848.45
Central Region,2_sample_mean,10529294,1820,1820,1,1,7514.36,,33848.45
Northern Region,1_analytic_mean,10529301,1820,1820,1,1,11169.99,0.0,33848.45
Northern Region,2_sample_mean,10529301,1820,1820,1,1,11169.99,,33848.45
Southern Region,1_analytic_mean,10529301,1820,1820,1,1,9500281.0,0.0,18955436.0
Southern Region,2_sample_mean,10529301,1820,1820,1,1,9500281.0,,18955436.0
Central Region,1_analytic_mean,10529301,1820,1820,1,1,195982.52,0.0,676969.06
Central Region,2_sample_mean,10529301,1820,1820,1,1,195982.52,,676969.06
Southern Region,1_analytic_mean,10529440,1822,1822,1,1,104997.87,0.0,440029.72
Southern Region,2_sample_mean,10529440,1822,1822,1,1,104997.87,,440029.72
Central Region,1_analytic_mean,10529449,1822,1822,1,1,644880.81,0.0,2064757.62
Central Region,2_sample_mean,10529449,1822,1822,1,1,644880.81,,2064757.62
Southern Region,1_analytic_mean,10529462,1822,1822,1,1,4931390.5,0.0,9206765.0
Southern Region,2_sample_mean,10529462,1822,1822,1,1,4931390.5,,9206765.0
Central Region,1_analytic_mean,10529602,1823,1823,1,1,24032.4,0.0,33848.45
Central Region,2_sample_mean,10529602,1823,1823,1,1,24032.4,,33848.45
Southern Region,1_analytic_mean,10529745,1824,1824,1,1,11169.99,0.0,33848.45
Southern Region,2_sample_mean,10529745,1824,1824,1,1,11169.99,,33848.45
Central Region,1_analytic_mean,10529745,1824,1824,1,1,35202.39,0.0,67696.9
Central Region,2_sample_mean,10529745,1824,1824,1,1,35202.39,,67696.9
